no,element,type,expected,actual,file,api_logic,db_impact,status,notes
1,Add KOL (shell + Creator Database),Button,Buka alur tambah KOL dan simpan creator baru,"Membuka modal, memvalidasi handle lewat /check, lalu POST menulis 3 tabel dan memulai scrape latar",DiscoverWorkspace.tsx:376 · KolDirectoryPage.tsx:603 · AddKolDirectoryModal.tsx,POST /api/kol-directory/add/check → POST /api/kol-directory/add → polling GET .../status,INSERT `kol_directory` + `social_account` + `kol_social_account` (DB KOL),YES,"Alur paling lengkap di seluruh Discovery: cek duplikat, reuse baris lama yang belum ter-scrape, progres di-poll. Satu catatan: resolusi agency best-effort karena `public.user` masih kosong, jadi insert ke `agency_kol_accounts` dilewati."
2,"Favorite (ikon hati, kartu creator)",Icon Toggle,Menandai creator sebagai favorit dan menyimpannya,Mengubah `useState` biasa dan menampilkan toast. Hilang saat refresh atau pindah view. Tidak ada layar/filter yang membacanya,"KolDirectoryPage.tsx:266, 557, 981",No API — state komponen murni,Tidak ada,UI ONLY,"`favorites` di baris 266 adalah `useState<Set<string>>(new Set())` tanpa efek persistensi apa pun — `grep localStorage` di file ini hanya menemukan saved lists dan compare. Hook `useDiscoverSelection(orgId,'fav')` yang justru dibuat untuk ini sudah ada dan dipakai Tracked Accounts sebagai 'bookmarks', tapi tidak dipakai di sini. Hitungan '· N favorites' di baris 590 selalu kembali 0 setiap kali halaman dimuat ulang."
3,Quick Insight — Shortlist,Action Button,Menambahkan creator ke shortlist,Menoggle `favorites` — set yang sama persis dengan tombol Favorite di kartu,KolDirectoryPage.tsx:912-917 · CreatorQuickInsight.tsx:265,No API,Tidak ada,UI ONLY,"Satu state, dua nama: kartu menyebutnya 'favorit' (toast: 'Ditambahkan ke favorit'), panel menyebutnya 'shortlist' (toast: 'Ditambahkan ke shortlist'). Keduanya sama-sama tidak persisten. Nama 'shortlist' juga dipakai Tracked Accounts untuk hal berbeda (bucket `compare` yang persisten)."
4,Add to compare (kartu + bulk),Icon Toggle / Button,Menambahkan creator ke perbandingan,Menulis ke localStorage bucket `compare` per org; tab Compare membacanya dan mengambil datanya lewat `?ids=`,"KolDirectoryPage.tsx:982, 860 · useDiscoverSelection.ts","GET /discover/kol-directory?ids=<uuid,…>","Tidak ada tulis DB; baca via `?ids=` (maks 50, tervalidasi UUID)",YES,"Bertahan antar layar dan antar reload, per org. Id roster disimpan berprefiks `roster:` supaya tidak tertukar dengan id akun warehouse."
5,Add to cart (kartu + Quick Insight),Icon Toggle / Button,Menambahkan creator ke keranjang order,"Kalau creator sudah punya harga org → masuk keranjang. Kalau belum → membuka modal harga, bukan gagal diam","KolDirectoryPage.tsx:495-510, 984",Baca GET /discover/rates; simpan di localStorage,Tidak menulis; harga dihitung ulang server saat checkout,PARTIAL,"Logikanya benar, tapi `public.discover_roster_rate_cards` hanya berisi 2 baris untuk seluruh instalasi — jadi hampir setiap klik Add to Cart berakhir di modal harga, bukan di keranjang. Bukan bug, tapi jalur 'senang' hampir tidak pernah terjadi."
6,Bulk: Add to Cart,Button,Menambahkan semua creator terpilih ke keranjang,Menambahkan hanya yang sudah berharga; sisanya dilewati diam-diam dengan hitungan di toast,"KolDirectoryPage.tsx:524-540, 861",localStorage cart,Tidak ada,PARTIAL,"Dengan 2 baris harga di seluruh instalasi, memilih 12 creator lalu menekan tombol ini secara praktis menghasilkan '0 masuk keranjang · 12 dilewati karena belum ada harga'. Toast-nya jujur, tapi tidak menawarkan jalan keluar (tidak ada bulk-pricing)."
7,Pricing modal — Simpan,Button (primary),Menyimpan base rate creator untuk org ini,"PUT tervalidasi: id roster dicek keberadaannya dulu, lalu upsert, lalu daftar harga dikembalikan segar",KolDirectoryPage.tsx:1524 · rates/route.ts:59,PUT /api/organizations/[id]/discover/rates,UPSERT `public.discover_roster_rate_cards` (warehouse),MISMATCH,"Tombolnya benar dan menulis dengan aman. Masalahnya lintas-sistem: harga ini masuk ke `discover_roster_rate_cards` di warehouse, sementara filter 'Max. rate card' membaca `l1_silver.unified_rate_card` di database KOL. Jadi setelah user memberi harga, creator itu **tetap** tersaring keluar oleh filter harga, dan kolom 'Rate card' di tabel **tetap** menampilkan '—' karena kolom itu membaca `rateFrom` dari tabel yang kosong."
8,Bulk: Export CSV / Excel,Button ×2,Mengekspor hasil Discovery,Mengunduh file dari baris **terpilih saja**; kalau tidak ada yang dipilih bulk bar tidak muncul sehingga ekspor tidak bisa diakses,"KolDirectoryPage.tsx:862, 865 · exportData.ts",Client-side blob download,Tidak ada,PARTIAL,"Implementasinya bagus — BOM UTF-8, `sep=` eksplisit untuk Excel Indonesia, dan proteksi formula injection (`=`,`+`,`-`,`@` diberi prefix kutip). Tapi tidak ada cara mengekspor seluruh hasil filter: user harus mencentang baris dulu, dan centang hanya bisa di tampilan tabel. Tracked Accounts justru sebaliknya — mengekspor semua hasil filter kalau tidak ada yang dipilih (`DiscoverDirectoryView.tsx:398`). Dua layar, dua arti untuk tombol bernama sama."
9,Compare (toolbar),Button,Membuka tab Compare berisi creator terpilih,Navigasi ke `?tab=compare`; isinya dibaca dari bucket localStorage yang sama,KolDirectoryPage.tsx:596,"router.push(tabHref(orgSlug,'compare'))",Tidak ada,YES,"Berfungsi. Tombol tidak dinonaktifkan saat belum ada yang dipilih, jadi bisa membuka tab Compare kosong — minor."
10,"Find similar (kartu, tabel, hub)",Icon Button,Mencari creator serupa dengan acuan ini,"Navigasi ke Smart Discovery dengan `?creator=<id>&refsrc=roster`, lalu layar itu memuat acuannya sendiri","KolDirectoryPage.tsx:990, 1213 · DiscoverWorkspace.tsx:202",GET /discover/kol-directory?ids= lalu GET /discover/creators/similar,Baca dari DB KOL + warehouse,YES,"Alur lengkap dan benar, termasuk membedakan acuan dari roster (`refsrc=roster`) dan dari creator org."
