no,element,type,location,purpose,file,group
1,Breadcrumb link,Button,Shell — atas halaman,Kembali ke tab/view induk,DiscoverWorkspace.tsx:347,A. Navigation
2,Sidebar nav — Discover + 7 anak,Nav links,Sidebar kiri (global),Pindah tab Discovery,layout/OrgNav.tsx:43,A. Navigation
3,TabStrip (sub-tab per tab),Tabs,Shell — bawah header,Pindah view dalam satu tab,ui.tsx:189 · DiscoverWorkspace.tsx:400,A. Navigation
4,Add KOL,Button (primary),Shell — header kanan,Buka modal tambah KOL (`?add=1`),DiscoverWorkspace.tsx:376,B. Discovery Actions
5,Cart + badge jumlah,Button (kondisional),Shell — header kanan,Ke tab Ordering › Cart,DiscoverWorkspace.tsx:649,B. Discovery Actions
6,Ordering Flow,Button (kondisional),Shell — header kanan,Ke alur pemesanan,DiscoverWorkspace.tsx:659,B. Discovery Actions
7,Purchase History,Button (ghost),Shell — header kanan,Ke riwayat order,DiscoverWorkspace.tsx:665,B. Discovery Actions
8,Shelf action (`Lihat semua →`),Button,Hub — kanan tiap shelf,Ke Smart Discovery / Creator Database,DiscoverHub.tsx:221,A. Navigation
9,Hub creator card,Card (clickable),Hub — dalam shelf,Buka creator,DiscoverHub.tsx:259,B. Discovery Actions
10,Find similar (ikon kartu),Icon Button,Hub — pojok kartu,Cari creator serupa,DiscoverHub.tsx:270,B. Discovery Actions
11,Compare,Button (ghost),Creator Database — toolbar,Ke tab Compare,KolDirectoryPage.tsx:596,B. Discovery Actions
12,Add KOL,Button (primary),Creator Database — toolbar,Buka AddKolDirectoryModal,KolDirectoryPage.tsx:603,B. Discovery Actions
13,Preset chips ×8,"Chips (single, toggle)",Creator Database — toolbar,Terapkan preset filter+ranking,KolDirectoryPage.tsx:617 · creatorMatch.ts:306,C. Search & Filtering
14,Search input,Text Input (debounce 350ms),Creator Database — toolbar,Cari creator,KolDirectoryPage.tsx:657,C. Search & Filtering
15,Clear search (×),Icon Button,Creator Database — toolbar,Kosongkan kotak pencarian,KolDirectoryPage.tsx:666,C. Search & Filtering
16,Category quick-chips (All + 6),Chips (single),Creator Database — toolbar,Filter kategori cepat,KolDirectoryPage.tsx:674,C. Search & Filtering
17,Filter panel toggle,Pill Button,Creator Database — toolbar,Tampil/sembunyikan sidebar filter,KolDirectoryPage.tsx:681,C. Search & Filtering
18,Clear filters,Pill Button (kondisional),Creator Database — toolbar,Reset semua filter,KolDirectoryPage.tsx:688,C. Search & Filtering
19,Saved lists,Pill Button → Dropdown,Creator Database — toolbar,Buka daftar tersimpan,KolDirectoryPage.tsx:692,C. Search & Filtering
20,Apply saved list,Dropdown row,Creator Database — toolbar,Terapkan kombinasi filter tersimpan,KolDirectoryPage.tsx:707,C. Search & Filtering
21,Delete saved list (×),Icon Button,Creator Database — toolbar,Hapus daftar tersimpan,KolDirectoryPage.tsx:714,C. Search & Filtering
22,Save current as list,Button (+),Creator Database — toolbar,Simpan filter aktif,KolDirectoryPage.tsx:720,C. Search & Filtering
23,Sort,Pill Button → Dropdown (4 opsi),Creator Database — toolbar,Ubah urutan hasil,KolDirectoryPage.tsx:735,D. Sorting & Display
24,Column chooser (8 checkbox),Pill → Checkbox list,Creator Database — toolbar,Pilih kolom tabel,KolDirectoryPage.tsx:758,D. Sorting & Display
25,View toggle Card / Table,Segmented Button,Creator Database — toolbar,Ganti tampilan daftar,KolDirectoryPage.tsx:779,D. Sorting & Display
26,Result count line,Text (dinamis),Creator Database — toolbar,Jumlah hasil + favorit + compare,KolDirectoryPage.tsx:590,D. Sorting & Display
27,Collapse sidebar (chevron),Icon Button,Creator Database — filter sidebar,Tutup panel jadi tab vertikal,KolDirectoryFilters.tsx:266,C. Search & Filtering
28,Filter tab (state tertutup),Vertical Tab Button,Creator Database — tepi kanan,Buka kembali panel,KolDirectoryFilters.tsx:446,C. Search & Filtering
29,Clear all (dalam panel),Text Button,Creator Database — filter sidebar,Reset semua filter,KolDirectoryFilters.tsx:264,C. Search & Filtering
30,Section accordion ×7,Accordion Header,Creator Database — filter sidebar,Buka/tutup section filter,KolDirectoryFilters.tsx:170,C. Search & Filtering
31,Platform chips (All + 2),Chips (single),Creator Database — filter sidebar,Filter platform,KolDirectoryFilters.tsx:279,C. Search & Filtering
32,Tier chips (All + 5 dinamis),Chips (single),Creator Database — filter sidebar,Filter band follower,KolDirectoryFilters.tsx:303,C. Search & Filtering
33,Format chips (6 IG / 3 TT),Chips — DISABLED,Creator Database — filter sidebar,Filter format konten,KolDirectoryFilters.tsx:330,C. Search & Filtering
34,Min. followers,Range Slider (12 langkah),Creator Database — filter sidebar,Ambang follower,KolDirectoryFilters.tsx:343,C. Search & Filtering
35,Min. engagement,Range Slider (0–10%),Creator Database — filter sidebar,Ambang engagement rate,KolDirectoryFilters.tsx:346,C. Search & Filtering
36,Max. rate card,Range Slider (12 langkah),Creator Database — filter sidebar,Plafon harga,KolDirectoryFilters.tsx:349,C. Search & Filtering
37,Audience Age chips ×7,Chips — DISABLED,Creator Database — filter sidebar,Filter umur audiens,KolDirectoryFilters.tsx:366,C. Search & Filtering
38,Major Female (%),Range Slider — DISABLED,Creator Database — filter sidebar,Ambang audiens perempuan,KolDirectoryFilters.tsx:369,C. Search & Filtering
39,Major Male (%),Range Slider — DISABLED,Creator Database — filter sidebar,Ambang audiens laki-laki,KolDirectoryFilters.tsx:371,C. Search & Filtering
40,Category chips (All + 28 dinamis),Chips (single),Creator Database — filter sidebar,Filter kategori,KolDirectoryFilters.tsx:382,C. Search & Filtering
41,Creator location,Select — DISABLED,Creator Database — filter sidebar,Filter kota creator,KolDirectoryFilters.tsx:395,C. Search & Filtering
42,Audience location,Select — DISABLED,Creator Database — filter sidebar,Filter lokasi audiens,KolDirectoryFilters.tsx:395,C. Search & Filtering
43,Min. authenticity,Range Slider — DISABLED,Creator Database — filter sidebar,Ambang autentisitas,KolDirectoryFilters.tsx:411,C. Search & Filtering
44,Min. brand fit,Range Slider — DISABLED,Creator Database — filter sidebar,Ambang brand fit,KolDirectoryFilters.tsx:412,C. Search & Filtering
45,Max. paid ratio,Range Slider — DISABLED,Creator Database — filter sidebar,Plafon rasio konten berbayar,KolDirectoryFilters.tsx:413,C. Search & Filtering
46,Min. campaigns,Range Slider — DISABLED,Creator Database — filter sidebar,Ambang jumlah campaign,KolDirectoryFilters.tsx:414,C. Search & Filtering
47,Verified creators only,Toggle (switch),Creator Database — filter sidebar,Hanya creator terverifikasi,KolDirectoryFilters.tsx:431,C. Search & Filtering
48,Retry (error state),Button,Creator Database — area hasil,Muat ulang direktori,KolDirectoryPage.tsx:804,E. Other
49,Clear filters (empty state),Button,Creator Database — area hasil,Reset saat hasil kosong,KolDirectoryPage.tsx:819,E. Other
50,Pagination prev / next / nomor,Pagination Buttons,Creator Database — area hasil,Pindah halaman (server-side),KolDirectoryPage.tsx:840,D. Sorting & Display
51,Select-all halaman,Checkbox,Creator Database — area hasil (tabel),Pilih semua baris di halaman,KolDirectoryPage.tsx:1163,B. Discovery Actions
52,Row checkbox,Checkbox,Creator Database — area hasil (tabel),Pilih satu creator,KolDirectoryPage.tsx:1182,B. Discovery Actions
53,Column header sort,Sort Control,Creator Database — area hasil (tabel),Urutkan lewat header kolom,KolDirectoryPage.tsx:1144,D. Sorting & Display
54,Creator card / row (klik),Card / Row,Creator Database — area hasil,Buka panel Quick Insight,KolDirectoryPage.tsx:972 · 1177,B. Discovery Actions
55,Favorite (hati),Icon Toggle,Creator Database — area hasil (kartu),Tandai creator sebagai favorit,KolDirectoryPage.tsx:981,B. Discovery Actions
56,Add to compare,Icon Toggle,Creator Database — area hasil (kartu),Masukkan ke perbandingan,KolDirectoryPage.tsx:982,B. Discovery Actions
57,Add to cart,Icon Toggle,Creator Database — area hasil (kartu & tabel),Masukkan ke keranjang,KolDirectoryPage.tsx:984 · 1220,B. Discovery Actions
58,Find similar,Icon Button,Creator Database — area hasil (kartu & tabel),Ke Smart Discovery dengan acuan ini,KolDirectoryPage.tsx:990 · 1213,B. Discovery Actions
59,Bulk: Add to Compare,Button,Creator Database — area hasil (bulk bar),Tambah semua terpilih ke compare,KolDirectoryPage.tsx:860,B. Discovery Actions
60,Bulk: Add to Cart,Button,Creator Database — area hasil (bulk bar),Tambah semua terpilih ke keranjang,KolDirectoryPage.tsx:861,B. Discovery Actions
