date,likes
2026-01-01,281
2026-01-02,496
2026-01-03,254
2026-01-04,352
2026-01-05,246
2026-01-06,490
2026-01-07,106
2026-01-08,497
2026-01-09,268
2026-01-10,204
2026-01-11,97
2026-01-12,106
2026-01-13,251
2026-01-14,336
2026-01-15,596
2026-01-16,421
2026-01-17,56
2026-01-18,309
2026-01-19,182
2026-01-20,66
2026-01-21,496
2026-01-22,419
2026-01-23,66
2026-01-24,63
2026-01-25,311
2026-01-26,116
2026-01-27,204
2026-01-28,251
2026-01-29,286
2026-01-30,290
2026-01-31,362
2026-02-01,22
2026-02-02,308
2026-02-03,229
2026-02-04,581
2026-02-05,518
2026-02-06,182
2026-02-07,276
2026-02-08,359
2026-02-09,597
2026-02-10,482
2026-02-11,287
2026-02-12,457
2026-02-13,527
2026-02-14,560
2026-02-15,177
2026-02-16,29
2026-02-17,502
2026-02-18,449
2026-02-19,319
2026-02-20,369
2026-02-21,540
2026-02-22,164
2026-02-23,231
2026-02-24,252
2026-02-25,469
2026-02-26,65
2026-02-27,542
2026-02-28,461
2026-03-01,197
2026-03-02,448
2026-03-03,538
2026-03-04,165
2026-03-05,32
2026-03-06,181
2026-03-07,569
2026-03-08,90
2026-03-09,384
2026-03-10,70
2026-03-11,387
2026-03-12,511
2026-03-13,457
2026-03-14,113
2026-03-15,516
2026-03-16,580
2026-03-17,482
2026-03-18,232
2026-03-19,126
2026-03-20,98
2026-03-21,557
2026-03-22,88
2026-03-23,582
2026-03-24,511
2026-03-25,437
2026-03-26,54
2026-03-27,352
2026-03-28,89
2026-03-29,251
2026-03-30,594
2026-03-31,99
2026-04-01,448
2026-04-02,421
2026-04-03,390
2026-04-04,431
2026-04-05,401
2026-04-06,541
2026-04-07,427
2026-04-08,205
2026-04-09,202
2026-04-10,567
2026-04-11,281
2026-04-12,65
2026-04-13,332
2026-04-14,297
2026-04-15,454
2026-04-16,295
2026-04-17,205
2026-04-18,142
2026-04-19,427
2026-04-20,39
2026-04-21,268
2026-04-22,26
2026-04-23,500
2026-04-24,178
2026-04-25,421
2026-04-26,267
2026-04-27,89
2026-04-28,259
2026-04-29,123
2026-04-30,471
2026-05-01,109
2026-05-02,112
2026-05-03,460
2026-05-04,37
2026-05-05,515
2026-05-06,401
2026-05-07,125
2026-05-08,94
2026-05-09,449
2026-05-10,316
2026-05-11,227
2026-05-12,211
2026-05-13,407
2026-05-14,570
2026-05-15,363
2026-05-16,262
2026-05-17,286
2026-05-18,548
2026-05-19,219
2026-05-20,489
2026-05-21,233
2026-05-22,566
2026-05-23,554
2026-05-24,288
