"date,content_interactions"
"2026-06-01,5827"
"2026-06-02,6444"
"2026-06-03,9464"
"2026-06-04,548"
"2026-06-05,9836"
"2026-06-06,7344"
"2026-06-07,13398"
"2026-06-08,12990"
"2026-06-09,1340"
"2026-06-10,2146"
"2026-06-11,9139"
"2026-06-12,6048"
"2026-06-13,1329"
"2026-06-14,8925"
"2026-06-15,10481"
"2026-06-16,14958"
"2026-06-17,2852"
"2026-06-18,3810"
"2026-06-19,11608"
"2026-06-20,5594"
"2026-06-21,11336"
"2026-06-22,7304"
"2026-06-23,11627"
"2026-06-24,8384"
"2026-06-25,9900"
"2026-06-26,9373"
"2026-06-27,14457"
"2026-06-28,9178"
"2026-06-29,10457"
"2026-06-30,14266"
