no,surface,filter,ui_control,options,expected_behavior,api_logic,db_table,db_column,data_available,coverage,actual_behavior,ui_db_match,status,notes
1,A. Creator Database (sidebar),Platform,Chips (single-select),All Platform / Instagram / TikTok — daftar hardcoded `PLATFORMS`; angka count dinamis dari facets,Menyaring roster ke satu platform,GET /discover/kol-directory?platform=instagram → SQL `b.platform = $2`,public.kol_directory → public.platforms,platform_id → key,Ya,"7.496 / 7.720 = 97,1%","Param dikirim ke API, backend menerapkan WHERE. Count per chip diisi dari facets sesudah paint pertama.",YES,YES,"224 baris aktif punya platform_id NULL dan tidak akan pernah muncul saat platform dipilih. Tabel `platforms` hanya berisi instagram+tiktok, jadi daftar hardcoded cocok dengan DB."
2,A. Creator Database (sidebar),Tier,"Chips (single-select), muncul hanya setelah Platform dipilih","All tiers + 5 band dinamis dari `kol_tiers` (Nano 1K–9.999, Micro 10K–49.999, Mid-tier 50K–99.999, Macro 100K–999.999, Mega 1M+)",Menyaring creator ke satu band follower,GET ...?tier=Micro → SQL `b.tier = ANY($4)`,public.kol_directory ⋈ public.kol_tiers,followers_count BETWEEN min_followers AND max_followers → t.name,Ya,"7.194 / 7.720 = 93,2%","Server-side. Count di tiap band roster-wide, bukan per platform yang sedang dipilih.",PARTIAL,PARTIAL,"526 baris aktif tidak masuk band manapun (follower < 1.000 atau NULL) dan hilang dari semua pilihan tier. Angka count di samping band tidak ikut menyempit saat platform dipilih, jadi 'Micro 2.942' tetap tampil walau platform Instagram hanya punya sebagian darinya."
3,A. Creator Database (sidebar),Format,Chips (multi-select) — DIRENDER DISABLED,Instagram: All formats/Feed Post/Reels/Story/Carousel/Content · TikTok: All formats/Video/Photo — Hardcoded `FORMATS`,Menyaring creator berdasarkan format konten yang paling sering dipakai,No API integration — `onClick={() => {}}`,NOT FOUND,NOT FOUND,Tidak,0 / 7.720 = 0%,Chip dirender `disabled` dengan teks alasan di bawahnya. Klik tidak melakukan apa-apa dan tidak ada network request.,NOT AVAILABLE,NOT AVAILABLE,"Tidak ada kolom format konten di `kol_directory` maupun tabel lain di database KOL pada level creator. `l2_gold.content_format_daily` punya media_type tapi hanya untuk 30 akun, bukan 7.720."
4,A. Creator Database (sidebar),Min. followers,Range Slider (12 langkah indeks),0 / 1K / 5K / 10K / 25K / 50K / 100K / 250K / 500K / 1M / 5M / 10M — Hardcoded `FOLLOWER_STEPS`,Menampilkan hanya creator dengan follower ≥ nilai slider,GET ...?follMin=1000000 → SQL `b.followers >= $9`,public.kol_directory,followers_count,Ya,"7.498 / 7.720 = 97,1%","Server-side. Slider menyimpan indeks, nilai absolut dikirim ke API.",PARTIAL,PARTIAL,Langkah tertinggi 10 juta sementara follower tertinggi di roster 685.896.635. 25 creator berada di atas 10M dan tidak bisa dipisahkan satu sama lain oleh slider ini.
5,A. Creator Database (sidebar),Min. engagement,"Range Slider (0–10, step 0,1)",0%–10% — Hardcoded,Menampilkan hanya creator dengan engagement rate ≥ nilai slider,GET ...?minEr=3 → SQL `b.er_pct >= $5`,public.kol_directory,engagement_rate (satuan persen),Sebagian,"1.756 / 7.720 = 22,7%",Server-side. Absent ≠ 0 sudah ditangani benar di route (`num()` mengembalikan null untuk param kosong).,PARTIAL,PARTIAL,"77,3% roster punya engagement_rate NULL, jadi menggeser slider satu tik saja langsung membuang 5.964 creator. Teks peringatan sudah ada di UI. Nilai maksimum di DB 223,41% — di luar jangkauan slider dan tidak masuk akal sebagai ER."
6,A. Creator Database (sidebar),Max. rate card,Range Slider (12 langkah indeks),"0 / 500rb / 1jt / 2,5jt / 5jt / 10jt / 25jt / 50jt / 100jt / 250jt / 500jt / 1mlr — Hardcoded `RATE_STEPS`",Menampilkan hanya creator yang punya minimal satu deliverable dengan fee ≤ plafon,GET ...?maxRate=5000000 → SQL `EXISTS (... JOIN l1_silver.unified_rate_card u ... u.fee <= $11)`,public.kol_social_account ⋈ l1_silver.unified_rate_card,u.fee,Tidak,0 / 7.720 = 0%,"Query jalan dan valid, tapi `l1_silver.unified_rate_card` berisi 0 baris. Setiap kali slider digeser dari Any, grid langsung kosong total.",MISMATCH,MISMATCH,"Teks di bawah slider mengklaim 'Rate card ada untuk 7.230 dari 7.718 creator'. Kelima tabel rate card di database KOL (`l1_silver.unified_rate_card`, `l0_harmonization.instagram_rate_card`, `tiktok_rate_card`, `l0_extra.ig_rate_card`, `tt_rate_card`) semuanya 0 baris. Angka 7.230 hardcoded di KolDirectoryFilters.tsx:355 dan tidak pernah dihitung dari DB."
7,A. Creator Database (sidebar),Audience — Age (top audience group),Chips (multi-select) — DIRENDER DISABLED,All / 13–17 / 18–24 / 25–34 / 35–44 / 45–54 / 55+ — Hardcoded `AGE_BANDS`,Menyaring creator berdasarkan kelompok umur audiens dominan,No API integration,l2_gold.audience_demographics_daily,audience_type='age' — TIDAK ADA BARIS,Tidak,0 / 7.720 = 0%,"Chip disabled, klik no-op.",NOT AVAILABLE,NOT AVAILABLE,Tabel `audience_demographics_daily` hanya menyimpan `audience_type='gender'` (69 baris total). Tidak ada satu pun baris umur untuk creator manapun.
8,A. Creator Database (sidebar),Audience — Major Female (%),Range Slider — DIRENDER DISABLED,"0–100%, value dipaku 0",Menampilkan hanya creator dengan audiens perempuan ≥ N%,No API integration — `onChange={() => {}}`,l2_gold.audience_demographics_daily,dimension_key='female',Sebagian,"23 / 7.720 = 0,3%","Slider disabled, value dipaku 0, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,"Teks UI bilang 'Roster KOL tidak menyimpan data audiens' — sekarang tidak akurat: 23 akun punya baris gender nyata. Tapi sampelnya 100 unit per akun dengan 61–85 di antaranya 'unknown', jadi tetap terlalu tipis untuk jadi filter."
9,A. Creator Database (sidebar),Audience — Major Male (%),Range Slider — DIRENDER DISABLED,"0–100%, value dipaku 0",Menampilkan hanya creator dengan audiens laki-laki ≥ N%,No API integration,l2_gold.audience_demographics_daily,dimension_key='male',Sebagian,"23 / 7.720 = 0,3%","Slider disabled, value dipaku 0, onChange kosong.",NOT AVAILABLE,NOT AVAILABLE,Sama dengan Major Female — sumbernya ada tapi hanya untuk 23 akun yang sama.
10,A. Creator Database (sidebar),Category,Chips (single-select),"All + 28 kategori dinamis dari facets (Lifestyle 2.522, Beauty 1.271, Moms 581, Entertainment 476, Gen Z 150, dst.)",Menyaring creator ke satu kategori,GET ...?category=Beauty → SQL `$3 = ANY (b.categories)`,public.kol_directory ⋈ public.kol_categories,"COALESCE(category_ids, ARRAY[category_id]) → kc.name",Sebagian,"4.174 / 7.720 = 54,1%","Server-side, opsi dinamis dari DB. Kolom lama `category_id` dan kolom baru `category_ids` dibaca dua-duanya.",YES,PARTIAL,"45,9% roster tidak punya kategori sama sekali dan hilang begitu kategori apapun dipilih. Distribusi sangat timpang: 2 kategori teratas menampung 91% dari yang berkategori, 11 kategori punya ≤3 creator."
