date,video_views
2026-01-01,3908
2026-01-02,5419
2026-01-03,5956
2026-01-04,1225
2026-01-05,2564
2026-01-06,6206
2026-01-07,5883
2026-01-08,7804
2026-01-09,7742
2026-01-10,6203
2026-01-11,6272
2026-01-12,4187
2026-01-13,2474
2026-01-14,2429
2026-01-15,7499
2026-01-16,302
2026-01-17,3529
2026-01-18,546
2026-01-19,6691
2026-01-20,3486
2026-01-21,2686
2026-01-22,7327
2026-01-23,2655
2026-01-24,767
2026-01-25,1667
2026-01-26,1280
2026-01-27,5016
2026-01-28,932
2026-01-29,1111
2026-01-30,5119
2026-01-31,486
2026-02-01,2751
2026-02-02,5642
2026-02-03,3989
2026-02-04,5769
2026-02-05,2875
2026-02-06,5323
2026-02-07,4079
2026-02-08,6930
2026-02-09,6707
2026-02-10,7420
2026-02-11,4845
2026-02-12,739
2026-02-13,4820
2026-02-14,5346
2026-02-15,1258
2026-02-16,5199
2026-02-17,7764
2026-02-18,6542
2026-02-19,7754
2026-02-20,6748
2026-02-21,7676
2026-02-22,1698
2026-02-23,643
2026-02-24,1277
2026-02-25,5360
2026-02-26,1546
2026-02-27,3530
2026-02-28,163
2026-03-01,4307
2026-03-02,7418
2026-03-03,5551
2026-03-04,5028
2026-03-05,2614
2026-03-06,2505
2026-03-07,4992
2026-03-08,4809
2026-03-09,6783
2026-03-10,3207
2026-03-11,3180
2026-03-12,915
2026-03-13,7709
2026-03-14,3454
2026-03-15,1455
2026-03-16,5530
2026-03-17,3397
2026-03-18,1439
2026-03-19,4213
2026-03-20,2753
2026-03-21,719
2026-03-22,549
2026-03-23,1648
2026-03-24,3137
2026-03-25,2575
2026-03-26,1175
2026-03-27,5389
2026-03-28,3869
2026-03-29,3446
2026-03-30,6803
2026-03-31,2324
2026-04-01,3765
2026-04-02,6000
2026-04-03,4131
2026-04-04,7278
2026-04-05,6737
2026-04-06,6982
2026-04-07,1654
2026-04-08,4492
2026-04-09,230
2026-04-10,7473
2026-04-11,7554
2026-04-12,3909
2026-04-13,3734
2026-04-14,6426
2026-04-15,1704
2026-04-16,1508
2026-04-17,2620
2026-04-18,2834
2026-04-19,2460
2026-04-20,2284
2026-04-21,7258
2026-04-22,4449
2026-04-23,5921
2026-04-24,2189
2026-04-25,6201
2026-04-26,863
2026-04-27,4932
2026-04-28,2107
2026-04-29,5116
2026-04-30,1819
2026-05-01,2875
2026-05-02,5639
2026-05-03,643
2026-05-04,4275
2026-05-05,5047
2026-05-06,3599
2026-05-07,4541
2026-05-08,3101
2026-05-09,3434
2026-05-10,5548
2026-05-11,4025
2026-05-12,1156
2026-05-13,6641
2026-05-14,6076
2026-05-15,3703
2026-05-16,4589
2026-05-17,6822
2026-05-18,6360
2026-05-19,3988
2026-05-20,2510
2026-05-21,849
2026-05-22,4290
2026-05-23,5127
2026-05-24,4618
