date,media_views
2026-01-01,9970
2026-01-02,4507
2026-01-03,13866
2026-01-04,1333
2026-01-05,13237
2026-01-06,7850
2026-01-07,7667
2026-01-08,5234
2026-01-09,10995
2026-01-10,3115
2026-01-11,12736
2026-01-12,12571
2026-01-13,5316
2026-01-14,7385
2026-01-15,10383
2026-01-16,6339
2026-01-17,5259
2026-01-18,2965
2026-01-19,10345
2026-01-20,6488
2026-01-21,8406
2026-01-22,14479
2026-01-23,6617
2026-01-24,9393
2026-01-25,489
2026-01-26,10457
2026-01-27,919
2026-01-28,10719
2026-01-29,1618
2026-01-30,5513
2026-01-31,3703
2026-02-01,3692
2026-02-02,6590
2026-02-03,3983
2026-02-04,8579
2026-02-05,4437
2026-02-06,1940
2026-02-07,14388
2026-02-08,4264
2026-02-09,7844
2026-02-10,4792
2026-02-11,6783
2026-02-12,6770
2026-02-13,1532
2026-02-14,6511
2026-02-15,3434
2026-02-16,10972
2026-02-17,11634
2026-02-18,6303
2026-02-19,3551
2026-02-20,6815
2026-02-21,2831
2026-02-22,2725
2026-02-23,6421
2026-02-24,13449
2026-02-25,13238
2026-02-26,11855
2026-02-27,6487
2026-02-28,4041
2026-03-01,1327
2026-03-02,8366
2026-03-03,14607
2026-03-04,14358
2026-03-05,8739
2026-03-06,9507
2026-03-07,12444
2026-03-08,5034
2026-03-09,13629
2026-03-10,8494
2026-03-11,2706
2026-03-12,9366
2026-03-13,4365
2026-03-14,10955
2026-03-15,1299
2026-03-16,6258
2026-03-17,5862
2026-03-18,610
2026-03-19,7785
2026-03-20,4040
2026-03-21,546
2026-03-22,11308
2026-03-23,13734
2026-03-24,12410
2026-03-25,5687
2026-03-26,13290
2026-03-27,1635
2026-03-28,10350
2026-03-29,1354
2026-03-30,473
2026-03-31,10977
2026-04-01,6268
2026-04-02,10874
2026-04-03,4367
2026-04-04,5811
2026-04-05,4155
2026-04-06,13762
2026-04-07,6849
2026-04-08,4798
2026-04-09,10539
2026-04-10,9963
2026-04-11,10604
2026-04-12,4605
2026-04-13,1976
2026-04-14,8848
2026-04-15,3481
2026-04-16,1896
2026-04-17,7743
2026-04-18,1723
2026-04-19,6145
2026-04-20,12673
2026-04-21,6086
2026-04-22,4214
2026-04-23,7139
2026-04-24,6070
2026-04-25,10493
2026-04-26,14519
2026-04-27,6598
2026-04-28,10231
2026-04-29,3747
2026-04-30,11100
2026-05-01,12038
2026-05-02,4998
2026-05-03,3827
2026-05-04,14110
2026-05-05,11210
2026-05-06,7338
2026-05-07,6488
2026-05-08,12356
2026-05-09,6551
2026-05-10,3061
2026-05-11,14109
2026-05-12,13430
2026-05-13,10329
2026-05-14,12591
2026-05-15,10567
2026-05-16,850
2026-05-17,8618
2026-05-18,4123
2026-05-19,6913
2026-05-20,1370
2026-05-21,2124
2026-05-22,12478
2026-05-23,14165
2026-05-24,11741
