date,impressions
2026-01-01,18082
2026-01-02,11903
2026-01-03,6860
2026-01-04,21852
2026-01-05,2080
2026-01-06,15088
2026-01-07,2533
2026-01-08,3744
2026-01-09,21986
2026-01-10,14353
2026-01-11,20784
2026-01-12,7279
2026-01-13,2253
2026-01-14,19001
2026-01-15,23560
2026-01-16,24629
2026-01-17,14548
2026-01-18,9116
2026-01-19,4677
2026-01-20,13128
2026-01-21,5057
2026-01-22,2337
2026-01-23,13632
2026-01-24,20542
2026-01-25,6020
2026-01-26,16710
2026-01-27,13385
2026-01-28,9665
2026-01-29,15698
2026-01-30,23127
2026-01-31,10125
2026-02-01,17376
2026-02-02,24785
2026-02-03,17802
2026-02-04,11081
2026-02-05,11801
2026-02-06,7208
2026-02-07,23014
2026-02-08,12341
2026-02-09,7909
2026-02-10,1925
2026-02-11,7584
2026-02-12,12146
2026-02-13,20396
2026-02-14,14921
2026-02-15,6598
2026-02-16,23056
2026-02-17,17637
2026-02-18,6016
2026-02-19,2409
2026-02-20,11038
2026-02-21,19949
2026-02-22,2092
2026-02-23,7786
2026-02-24,20172
2026-02-25,22884
2026-02-26,22122
2026-02-27,22684
2026-02-28,16420
2026-03-01,8845
2026-03-02,1948
2026-03-03,9386
2026-03-04,12548
2026-03-05,22951
2026-03-06,9026
2026-03-07,24430
2026-03-08,6246
2026-03-09,23642
2026-03-10,2600
2026-03-11,14603
2026-03-12,14556
2026-03-13,5179
2026-03-14,13851
2026-03-15,15518
2026-03-16,23296
2026-03-17,13004
2026-03-18,15700
2026-03-19,9400
2026-03-20,1945
2026-03-21,7829
2026-03-22,1510
2026-03-23,11508
2026-03-24,22034
2026-03-25,2005
2026-03-26,23500
2026-03-27,5879
2026-03-28,14103
2026-03-29,5893
2026-03-30,21917
2026-03-31,19589
2026-04-01,23576
2026-04-02,11193
2026-04-03,19853
2026-04-04,11188
2026-04-05,24145
2026-04-06,6755
2026-04-07,23427
2026-04-08,21183
2026-04-09,12980
2026-04-10,24696
2026-04-11,20832
2026-04-12,2134
2026-04-13,15931
2026-04-14,21680
2026-04-15,2316
2026-04-16,21030
2026-04-17,13909
2026-04-18,12248
2026-04-19,17318
2026-04-20,9919
2026-04-21,14127
2026-04-22,3919
2026-04-23,21685
2026-04-24,12388
2026-04-25,1808
2026-04-26,4954
2026-04-27,7283
2026-04-28,17742
2026-04-29,19693
2026-04-30,20797
2026-05-01,18546
2026-05-02,1330
2026-05-03,21670
2026-05-04,3491
2026-05-05,3399
2026-05-06,18271
2026-05-07,15211
2026-05-08,24725
2026-05-09,22287
2026-05-10,1604
2026-05-11,9459
2026-05-12,7165
2026-05-13,13935
2026-05-14,6515
2026-05-15,7834
2026-05-16,17594
2026-05-17,2623
2026-05-18,6613
2026-05-19,23282
2026-05-20,22641
2026-05-21,14437
2026-05-22,2872
2026-05-23,13394
2026-05-24,3808
