section,c1,c2,c3,c4,c5,c6,c7,c8,c9
end-to-end,1. Open Add KOL,Tekan tombol Add KOL,Membuka dialog tambah creator,**Dua tombol berlabel sama membuka dua dialog berbeda.** Toolbar Creator Database → `AddKolDirectoryModal`; header shell & My Creators → `?add=1` → `AddCreatorModal`,"KolDirectoryPage.tsx:603 · DiscoverWorkspace.tsx:376,614",Tidak ada request saat membuka,Belum ada,MISMATCH,"Keduanya berlabel **Add KOL** tapi menulis ke database berbeda: Flow A ke `public.kol_directory` (server KOL), Flow B ke `public.discover_creators` (warehouse). Tidak ada di UI yang membedakan keduanya. Flow B menulis `?add=1` ke URL sehingga bisa di-bookmark; Flow A memakai state komponen."
end-to-end,2. Select Platform,Pilih Instagram / TikTok,Memilih platform yang didukung,Chip platform; pilihan hardcoded dan divalidasi ulang di server,AddKolDirectoryModal.tsx:368 · creatorInput.ts:33,Server menolak selain 'instagram'/'tiktok' dengan 400,`public.platforms` lookup by key,PARTIAL,"Dua platform di `CREATOR_PLATFORMS` untuk Flow A; `vocab`-nya juga mendefinisikan Facebook tapi Add KOL menolaknya secara eksplisit. Tabel `platforms` memang hanya berisi instagram + tiktok, jadi UI cocok dengan DB. YouTube tidak ada di UI maupun DB."
end-to-end,3. Account Input,Ketik username atau tempel URL profil,"Menerima kedua bentuk, menormalkan jadi (platform, username)","`parseCreatorInput()` menangani URL dan handle, membuang `@` dan trailing slash, memvalidasi regex per platform, menolak URL post/reel",creatorInput.ts:132-175,"Diparse ulang di server, tidak percaya hasil klien",`username_normalized` disimpan lowercase,YES,"Termasuk detail yang jarang ditangani: regex per platform (IG 30 char, TT 24 char, tanpa spasi karena actor Apify menolak start), daftar `NOT_A_PROFILE` (`/p/`, `/reel/`, `/video/`, dst.) sehingga link post ditolak dengan alasan benar, dan `platformOfUrl()` yang mendeteksi link TikTok ditempel saat Instagram terpilih lalu menawarkan tukar platform."
end-to-end,4. Validate Input,Validasi sebelum request mahal,Menolak input tidak valid tanpa memanggil layanan eksternal,"Tiga saringan berurutan: platform link vs platform terpilih → `parseCreatorInput` → baru cek roster, baru Apify",addKolCheck.ts:227-258,Belum ada network di tahap ini,Belum ada,YES,Urutan saringannya benar secara ekonomi: Apify run (yang berbayar) hanya jalan setelah dua saringan gratis lolos. Komentar kodenya menyatakan ini eksplisit.
end-to-end,5. Check Account,Tekan Check / Cek,Memverifikasi akun benar-benar ada di platform,"**Request nyata ke Apify.** Instagram: `apify/instagram-profile-scraper`. TikTok: `clockworks/tiktok-scraper` (5 post, `authorMeta` dibaca sebagai profil)",AddKolDirectoryModal.tsx:146,POST /api/kol-directory/add/check → `checkKolExists()`,Baca `public.kol_directory` + `l0_raw.*_followers_apify`,YES,"Bukan mock. `APIFY_API_TOKEN` ada di `.env.local` dan `apifyKolActors.ts:52` melempar error eksplisit bila hilang. Bukti eksekusi nyata: 9 baris di `public.add_kol_scrape_log` dari 3 run (febbyrastanty, raditya_dika, sekata_ai), semuanya `status='success'`."
end-to-end,6. Detect Account Status,Sistem menyimpulkan kondisi akun,Membedakan ada / tidak ada / privat / error sementara,"Lima state: `invalid_input`, `already_in_directory`, `not_found`, `unverified`, `new`. **Akun privat tidak punya state sendiri**",addKolCheck.ts:18-47,Dibedakan dari `apifyItemError(...).gone`,Tidak menulis,PARTIAL,"Pembedaan error permanen (`gone` → `not_found`) vs sementara (→ `unverified`, 'coba lagi sebentar') sudah benar dan jarang ada. Tapi akun privat jatuh ke `not_found` di Instagram, dan di TikTok pesan errornya menggabungkan tiga sebab berbeda: 'may be new, private, or blocked to our region'. Flow B justru punya deteksi privat sungguhan (`visibility: public|private|unknown`)."
end-to-end,7. Duplicate Check,Sistem mencegah entri ganda,Menolak/menggabungkan handle yang sudah ada,"Lookup `LOWER(username_normalized)` per platform, lalu `hasFollowerData()` menentukan apakah entri lama sudah lengkap. Yang belum lengkap dipakai ulang id-nya","addKolCheck.ts:84-104, 253-264",Bagian dari /check,`SELECT ... FROM kol_directory JOIN platforms LEFT JOIN kol_social_account`,YES,"Definisi 'sudah pernah ditarik' sengaja **tidak** memakai `scrape_status` — kolom itu tidak pernah diisi leg TikTok pipeline Python lama. Yang dipakai adalah keberadaan baris di `l0_raw.*_followers_apify`. Terbukti bekerja: `febbyrastanty` yang tadinya `excel_import` dipakai ulang, bukan diduplikasi."
end-to-end,8. Show Validation Result,UI menampilkan hasil pemeriksaan,"Satu layar per hasil, dengan aksi lanjutan yang berbeda",Lima layar hasil dengan tombol berbeda: Edit / Try Again / Coba Lagi / Close / Add,AddKolDirectoryModal.tsx:507-553,—,—,YES,"Tiap state punya jalan keluar yang sesuai — link platform salah ditawari tukar platform, typo handle diperbaiki di tempat, error sementara ditawari ulangi."
end-to-end,9. Collect Profile Data,Sistem menarik data creator,"Profil, post, follower","3 actor paralel (IG) atau 2 (TT). Ukuran sampel terukur dari log nyata: profil 1, post 9–10, follower 49–50",addKolScrape.ts:667-730,"Apify runs, dicatat per langkah",INSERT `l0_raw.ig_profile_apify` / `ig_media_snapshots_apify` / `ig_followers_apify`,PARTIAL,"Berjalan dan tercatat. Tapi sampelnya kecil dan tetap: 10 post dan ~50 follower per creator — label UI menjanjikan 'sampel 100 follower', log nyata menunjukkan 49, 49, 50. Re-run di hari yang sama menghapus-lalu-menulis-ulang (delete-then-insert) sehingga tidak menggandakan."
end-to-end,10. Process / Profile Creator,Data mentah diolah jadi profil,Harmonisasi dan agregasi sampai siap tampil,6 langkah: 3 `CALL l0_harmonization.sp_sync_*` lalu 3 `SELECT l1_silver.sp_build_unified_*`. **Berhenti di L1 silver**,addKolScrape.ts:418-452,Stored procedure di DB KOL,Isi `l0_harmonization.*` dan `l1_silver.unified_profile/post/follower`,PARTIAL,Keenam prosedurnya terverifikasi ada di database (`pg_proc`). Tapi **tidak ada satu pun fungsi atau prosedur di schema `l2_gold`** — pipeline aplikasi tidak pernah membangun lapisan gold. Semua layar yang membaca `l2_gold.*` menunggu batch eksternal.
